title,link,summary,published
Catherine Deneuve : cette violente dispute avec sa fille qui a failli les séparer,https://www.public.fr/catherine-deneuve-cette-violente-dispute-avec-sa-fille-qui-a-failli-les-separer,"Maman de deux enfants, Catherine Deneuve a failli ne plus jamais parler à sa fille Chiara Mastroianni. Il y a six ans, les deux femmes se sont écharpées à cause d'une tribune signée par l'actrice légendaire. Toutes les deux ont failli couper les ponts.","Fri, 10 Jan 2025 12:30:00 +0000"
"Bernard-Henri Levy : 31 ans de mariage avec Arielle Dombasle, et toujours ce gros blocage…",https://www.public.fr/bernard-henri-levy-31-ans-de-mariage-avec-arielle-dombasle-et-toujours-ce-gros-blocage,Arielle Dombasle et Bernard-Henri Levy continuent de se vouvoyer après plus de 30 ans de mariage. Et voici pourquoi.,"Fri, 10 Jan 2025 12:15:00 +0000"
Yanis Marshall échappe à la mort en Australie : l’ex-professeur de la « Star Academy » remercie Madonna,https://www.public.fr/yanis-marshall-echappe-a-la-mort-en-australie-lex-professeur-de-la-star-academy-remercie-madonna,"Yanis Marshall vient d'apprendre que l'avion qu'il n'a pas pris pour l'Australie s'est écrasé, et que les passagers sont tous morts...","Fri, 10 Jan 2025 12:00:00 +0000"
Amanda Lear touchée par le cancer : sa terrible publication,https://www.public.fr/amanda-lear-touchee-par-le-cancer-sa-terrible-publication,"Amanda Lear est omniprésente sur les plateaux TV qu'elle ait ou non de l'actualité. Ne mâchant pas ses mots, elle semble en constante représentation. Mais là, la muse de Dali ne rit plus. La maladie a frappé.","Fri, 10 Jan 2025 11:45:00 +0000"
Vincent Cassel papa pour la 4ᵉ fois à 58 ans : découvrez le sexe et le prénom du bébé !,https://www.public.fr/vincent-cassel-papa-pour-la-4%e1%b5%89-fois-a-58-ans-decouvrez-le-sexe-et-le-prenom-du-bebe,"Vincent Cassel est papa pour la quatrième fois ! Ce vendredi 10 janvier 2025, l'acteur de 58 ans annonce la naissance de son fils, fruit de son amour avec sa nouvelle compagne, Nara Baptista.","Fri, 10 Jan 2025 11:40:00 +0000"
Novak Djokovic affirme avoir été empoisonné lors de sa détention en Australie,https://www.public.fr/novak-djokovic-affirme-avoir-ete-empoisonne-lors-de-sa-detention-en-australie,"Novak Djokovic, le champion serbe, joueur le plus titré de l’histoire de tennis a révélé dans une interview avoir été empoisonné.","Fri, 10 Jan 2025 11:30:00 +0000"
"Michèle Torr annule tout : l’état de son fils, atteint de sclérose en plaques, se serait brutalement dégradé",https://www.public.fr/michele-torr-annule-tout-letat-de-son-fils-atteint-de-sclerose-en-plaques-se-serait-brutalement-degrade,"A 77 ans, Michèle Torr a toujours la forme. La chanteuse est même en tournée pour fêter ses 60 ans de carrière. Alors qu'elle devait honorer un rendez-vous important ce 12 janvier, l'interprète d'Emmène-moi danser ce soir a décidé de rester au chevet de son fils Romain dont la santé décline.","Fri, 10 Jan 2025 11:15:00 +0000"
"""Un connard"" : Franck Dubosc se lâche sur Benoît Poelvoorde après leur collaboration",https://www.public.fr/un-connard-franck-dubosc-se-lache-sur-benoit-poelvoorde-apres-leur-collaboration,"En pleine promotion de son nouveau film ""Un ours dans le Jura"" Franck Dubosc était l'invité d'Anne-Élisabeth Lemoine dans le dernier numéro de ""C à vous"". L'occasion pour l'acteur et réalisateur d'évoquer sa collaboration avec Benoît Poelvoorde.","Fri, 10 Jan 2025 11:00:00 +0000"
"""Un demi-poumon en moins et 41 bouts de métal"" : Vincent Lagaf’ cash sur son état de santé",https://www.public.fr/un-demi-poumon-en-moins-et-41-bouts-de-metal-vincent-lagaf-cash-sur-son-etat-de-sante,"Invité sur le plateau de C à vous ce jeudi 9 janvier 2025, Vincent Lagaf' a évoqué les moments difficiles de sa vie, marqués par des blessures qui ont fait naître des doutes sur son avenir à la télévision.","Fri, 10 Jan 2025 10:45:00 +0000"
"Incendies à Los Angeles : Laeticia Hallyday envoie un message à Benjamin Castaldi, il la confond avec Laetitia Casta",https://www.public.fr/incendies-a-los-angeles-laeticia-hallyday-envoie-un-message-a-benjamin-castaldi-il-la-confond-avec-laetitia-casta,"Aux commandes de son émission radio sur Europe 2, Benjamin Castaldi a partagé un message envoyé par Laeticia Hallyday... qu'il a d'abord confondue avec Laetitia Casta.","Fri, 10 Jan 2025 10:30:00 +0000"
Florent Pagny : la guéguerre avec Olivia Ruiz relancée,https://www.public.fr/florent-pagny-la-gueguerre-avec-olivia-ruiz-relancee,"Ce n'est visiblement pas en 2025 que Florent Pagny et Olivia Ruiz feront la paix. La brouille entre le chanteur et l'ancienne élève de la ""Star Academy"" ne date pas d'hier. Mais pourquoi tant d'animosité ? Public.fr revient pour vous sur l'origine de leur mésentente.","Fri, 10 Jan 2025 10:15:00 +0000"
Maquillage : ce blush à moins de 15 euros se vend toutes les 5 minutes en France,https://www.public.fr/maquillage-ce-blush-a-moins-de-15-euros-se-vend-toutes-les-5-minutes-en-france,"Incontournable sur le marché des blushs, cette pépite de la marque Bourjois, séduit par son packaging et sa pigmentation. Découvrez le fard à joues qui se vend toutes les 5 minutes en France.","Fri, 10 Jan 2025 10:00:00 +0000"
Meghan Markle et Harry se font détruire : leur générosité au beau milieu des feux qui ravagent Los Angeles pose problème,https://www.public.fr/meghan-markle-et-harry-se-font-detruire-leur-generosite-au-beau-milieu-des-feux-qui-ravagent-los-angeles-pose-probleme,"Généreux, Meghan Markle et Harry ont décidé d'aider la communauté de Los Angeles, frappée par des incendies dévastateurs. Malheureusement, leur geste n'a pas été accueilli sans controverse.","Fri, 10 Jan 2025 09:45:00 +0000"
"Laeticia Hallyday : avant la destruction de sa maison par les flammes, la lourde chute",https://www.public.fr/laeticia-hallyday-avant-la-destruction-de-sa-maison-par-les-flammes-la-lourde-chute,"La fin d'année 2024 ne s'est pas passée comme prévue pour Laeticia Hallday. La veuve de Johnny a passé son 31 décembre en petit comité. Closer révèle, ce 10 janvier, qu'elle est resté auprès de ""Mamie Rock"", diminuée après une chute.","Fri, 10 Jan 2025 09:30:00 +0000"
"Vincent Lagaf’ : pas ""d’accent arabe ou noir"", pas de remarques sur les décolletés, ce qu’on lui a interdit pour le retour du ""Bigdil""",https://www.public.fr/vincent-lagaf-pas-daccent-arabe-ou-noir-pas-de-remarques-sur-les-decolletes-ce-quon-lui-a-interdit-pour-le-retour-du-bigdil,Vincent Lagaf était hier soir sur le plateau de C à vous. Il a répondu aux nombreuses accusations de racisme et de sexisme dont il fait l’objet.,"Fri, 10 Jan 2025 09:15:00 +0000"
Cyril Hanouna : l'animateur de C8 candidat à l'élection présidentielle de 2027 ?,https://www.public.fr/cyril-hanouna-lanimateur-de-c8-candidat-a-lelection-presidentielle-de-2027,"Cyril Hanouna a-t-il l'intention de prendre la place d'Emmanuel Macron ? Selon la rumeur, l'animateur envisagerait en effet de se porter candidat à l'élection présidentielle de 2027.","Fri, 10 Jan 2025 09:00:00 +0000"
"M. Pokora percuté par une voiture, la sortie de son nouvel album vire au drame",https://www.public.fr/m-pokora-percute-par-une-voiture-la-sortie-de-son-nouvel-album-vire-au-drame,"Ce jeudi 9 janvier 2025, M Pokora a surpris sa communauté en annonçant l'arrivée d'un extrait de son nouvel album d'une bien drôle de manière.","Fri, 10 Jan 2025 08:40:02 +0000"
Kev Adams à Los Angeles : ses fans extrêmement inquiets,https://www.public.fr/kev-adams-a-los-angeles-ses-fans-extremement-inquiets,"Face aux violents incendies qui frappent Los Angeles, Kev Adams s'est exprimé sur Instagram pour rassurer ses abonnés.","Fri, 10 Jan 2025 08:15:00 +0000"
L'animateur Stéphane Plaza a tenté de mettre fin à ses jours depuis son balcon,https://www.public.fr/lanimateur-stephane-plaza-a-tente-de-mettre-fin-a-ses-jours-depuis-son-balcon,"Lors de son procès, Stéphane Plaza a révélé avoir tenté de mettre fin à ses jours juste avant Noël.","Fri, 10 Jan 2025 07:59:38 +0000"
